e, e_dot, e_int, stamp, 
0.7853980847602686, 0.0, 0.15707961695205372, 1732917074313733516, 
0.7853980847602686, 0.0, 0.15707961695205372, 1732917074433099205, 
0.7853980847602686, 0.0, 0.15707961695205372, 1732917074523487022, 
0.7853980847602686, 0.0, 0.15707961695205372, 1732917074623469987, 
0.7853980847602686, 0.0, 0.15707961695205372, 1732917074713387414, 
0.7812220280820856, -0.013920188927276644, 0.1568012131735082, 1732917074833304528, 
0.7837921393592732, -0.005353151336651522, 0.15669415014677518, 1732917074923326314, 
0.7839858908762775, 0.009212875980639431, 0.15660000388784243, 1732917075023321996, 
0.7523038260559346, -0.10496104434446189, 0.15467212375276568, 1732917075114820779, 
0.7428040602956816, -0.13727276860198626, 0.15193958514852623, 1732917075233220436, 
0.7352254611444847, -0.05692788303816624, 0.14868888983307338, 1732917075323302748, 
0.7299051415195431, -0.04299639592046156, 0.14719564419731399, 1732917075423337140, 
0.7230922643485052, -0.04044398931993191, 0.1458815244675022, 1732917075514793353, 
0.7204878844717146, -0.031390856826094916, 0.1448990193559842, 1732917075633328423, 
0.7170087591155099, -0.020278350776650928, 0.14403926052904867, 1732917075723335827, 
0.7182331710681089, -0.007515711345352412, 0.14371532097702222, 1732917075823346013, 
0.7202567937487542, 0.010826782110814337, 0.14369991492882486, 1732917075914207765, 
0.622827170345263, -0.3180200024094863, 0.1374211423441417, 1732917076033302924, 
0.6157575618339162, -0.34833077304946003, 0.1305894350618622, 1732917076123342501, 
0.6077430317665341, -0.05028046192909641, 0.1230885175963809, 1732917076223322691, 
0.6014486683977976, -0.0476963114537284, 0.12166328413321652, 1732917076314791335, 
0.5940153130303376, -0.04575906245398831, 0.12021380087964462, 1732917076428609136, 
0.5877214613687876, -0.04575735676336697, 0.11887902951979486, 1732917076527350091, 
0.5832667748362735, -0.03582846064688024, 0.1176669032823599, 1732917076623337396, 
0.5903428291957922, 0.008737892756682056, 0.11742207102672356, 1732917076713847697, 
0.47119031666879796, -0.37358819389158526, 0.10965332804672423, 1732917076833359470, 
0.46462848139099644, -0.4190478260159858, 0.10174410848370576, 1732917076923364024, 
0.45767601626190635, -0.04504766802297203, 0.09289965428811338, 1732917077023334822, 
0.44977814249663517, -0.0495011296478709, 0.09147217600996921, 1732917077113870215, 
0.44052234491381104, -0.05717890449365104, 0.0898651002448235, 1732917077234501439, 
0.4342531719271554, -0.05174990189826589, 0.08830357728917344, 1732917077323389182, 
0.4302984138986923, -0.03407977005039586, 0.08700492871597726, 1732917077418337027, 
0.3150707994378208, -0.3972745749644487, 0.07864149235091122, 1732917077517920027, 
0.31309741696229, -0.39066998978800765, 0.07056444201992021, 1732917077609352929, 
0.3014291823719524, -0.04547205688622805, 0.061973159918137545, 1732917077728364395, 
0.2943676541771352, -0.06243254261718271, 0.060592950234091836, 1732917077823337680, 
0.2866588474637104, -0.049234449694139926, 0.05883037893418653, 1732917077913923108, 
0.27619794986372836, -0.060565681044689366, 0.05714829676697159, 1732917078033457156, 
0.27121899761498547, -0.05146616616241643, 0.055605052996161614, 1732917078123453571, 
0.2751869112497698, -0.0033701287131952342, 0.054840257248565574, 1732917078223351968, 
0.16871230312186047, -0.34168898164375, 0.04767454746577438, 1732917078313909764, 
0.16296994947881738, -0.37405653923650806, 0.04045794425669651, 1732917078413458059, 
0.15655045546614688, -0.04053949218571199, 0.03254884720445498, 1732917078523375879, 
0.14980072308821102, -0.0438974213020212, 0.03128807520221168, 1732917078623349758, 
0.14606365603654325, -0.03495599809867874, 0.030160988972726743, 1732917078713008543, 
0.13996235463616935, -0.03279456150680556, 0.029055115584061573, 1732917078834852039, 
0.13626256770727874, -0.03267029443088173, 0.028152571891999423, 1732917078923377603, 
0.14192009012205464, 0.006525784952950975, 0.02787633416436685, 1732917079023360860, 
