x, y, th, stamp, 
-1.999883006894553, -0.5000010947896184, 2.5734903707989082e-05, 989231000000, 
-1.9998830024078498, -0.5000010947437393, 2.5735832227056515e-05, 989265000000, 
-1.9998829873994943, -0.5000010947390218, 2.5736834898468376e-05, 989299000000, 
-1.999882961972697, -0.5000010948220646, 2.5737921694782746e-05, 989333000000, 
-1.9998829309684745, -0.5000010948073834, 2.5739047661090676e-05, 989367000000, 
-1.9998829202301507, -0.5000010947437854, 2.5740099093516136e-05, 989401000000, 
-1.999882917592143, -0.50000109481585, 2.574091625230959e-05, 989435000000, 
-1.999882915618806, -0.5000010948296113, 2.5741717519995377e-05, 989469000000, 
-1.9998829381633132, -0.5000010947596796, 2.5742396858919806e-05, 989503000000, 
-1.9998829480186076, -0.5000010948397458, 2.574308473110052e-05, 989537000000, 
-1.9998829532179043, -0.5000010948406108, 2.5743847891061385e-05, 989571000000, 
-1.99988295195539, -0.5000010948308101, 2.5744763205304642e-05, 989605000000, 
-1.9998829404334966, -0.5000010947967729, 2.5745732852262963e-05, 989639000000, 
-1.9998829213092442, -0.5000010947758045, 2.574678625216425e-05, 989673000000, 
-1.9998829189233356, -0.5000010948515936, 2.57476901547656e-05, 989707000000, 
-1.9998829171803618, -0.500001094864862, 2.5748497161537715e-05, 989741000000, 
-1.9998829368429274, -0.50000109483059, 2.574912564179494e-05, 989775000000, 
-1.9998829441066275, -0.5000010948726265, 2.5749904392379214e-05, 989809000000, 
-1.9998829495764179, -0.5000010948729912, 2.5750660606834022e-05, 989843000000, 
-1.999882948598745, -0.5000010948630423, 2.575154233030749e-05, 989877000000, 
-1.9998829373622367, -0.50000109482881, 2.575251860656953e-05, 989911000000, 
-1.9998829158751212, -0.5000010947633855, 2.575357121815611e-05, 989945000000, 
-1.9998828885123505, -0.5000010948834959, 2.5754700665943188e-05, 989979000000, 
-1.999882886139951, -0.5000010948042682, 2.5755626842897592e-05, 990013000000, 
-1.999882891787662, -0.5000010948793571, 2.5756347881222105e-05, 990047000000, 
-1.999882900733888, -0.5000010949012477, 2.5757089097135263e-05, 990081000000, 
-1.9998829255888424, -0.5000010948664166, 2.575771449865587e-05, 990115000000, 
-1.9998829374783365, -0.5000010948287883, 2.575841747587926e-05, 990149000000, 
-1.9998829386797317, -0.5000010949215281, 2.5759246457395675e-05, 990183000000, 
-1.9998829341459576, -0.5000010949154337, 2.5760141041542636e-05, 990217000000, 
-1.9998829247173835, -0.5000010949086435, 2.57610819896089e-05, 990251000000, 
-1.9998829063290762, -0.5000010948832414, 2.5762104147485532e-05, 990285000000, 
-1.9998828820263772, -0.5000010948106522, 2.5763225285023008e-05, 990319000000, 
