x, y, theta, stamp, 
5.96129041241511e-07, -7.011105935816886e-07, 6.9141652306085196e-06, 1729892821292675017, 
5.96129041241511e-07, -7.011105935816886e-07, 6.914168884929395e-06, 1729892821342795556, 
5.96129041241511e-07, -7.011105935816886e-07, 6.914175000645156e-06, 1729892821382285416, 
5.96129041241511e-07, -7.011105935816886e-07, 6.914176511347959e-06, 1729892821452405724, 
3.3918267945409752e-06, -3.989005563198589e-06, 3.933886974789473e-05, 1729892821482703702, 
0.0016850919928401709, -8.468152373097837e-05, 0.003272755227993027, 1729892821542778933, 
0.0060804663226008415, -1.387182783219032e-05, 0.006300929985956339, 1729892821593703295, 
0.012957610189914703, -2.654509444255382e-06, 0.009479769065122438, 1729892821642833758, 
0.02174476534128189, 0.0002563427551649511, 0.014711575955965806, 1729892821692773811, 
0.03237338364124298, 0.00030969464569352567, 0.020482708033255744, 1729892821742747255, 
0.042453303933143616, 0.0006209738785400987, 0.025443925717780796, 1729892821782233550, 
0.057478614151477814, 0.0008695870055817068, 0.03183182404012899, 1729892821832531497, 
0.0734826922416687, 0.001435121870599687, 0.03991799287006796, 1729892821882403788, 
0.09264037013053894, 0.0023830023128539324, 0.04815049162016797, 1729892821942323632, 
0.12299546599388123, 0.0039579072035849094, 0.062335271696639175, 1729892822042291245, 
0.15271781384944916, 0.006109255366027355, 0.07958811876521515, 1729892822142373075, 
0.18080906569957733, 0.008659623563289642, 0.09534476057467146, 1729892822234123820, 
0.21373988687992096, 0.012212795205414295, 0.12093069614632937, 1729892822342413579, 
0.24394220113754272, 0.016262691468000412, 0.15077221334074942, 1729892822442363793, 
0.27384382486343384, 0.021106019616127014, 0.18191999618784702, 1729892822542393400, 
0.30653390288352966, 0.027416713535785675, 0.21517164365041663, 1729892822652809133, 
0.3335212767124176, 0.033543795347213745, 0.24662870240593762, 1729892822742279731, 
0.36333391070365906, 0.04119785875082016, 0.28529529386078656, 1729892822842207448, 
0.392593652009964, 0.050066202878952026, 0.32940167434253376, 1729892822943239159, 
0.42343565821647644, 0.06104966253042221, 0.37902780222296656, 1729892823052552056, 
0.4490605890750885, 0.0714508593082428, 0.4254627396482662, 1729892823143456851, 
0.47668391466140747, 0.08460649102926254, 0.4770343284251079, 1729892823242211473, 
0.5035331845283508, 0.0989077091217041, 0.526568163000155, 1729892823343242575, 
0.5272742509841919, 0.11271480470895767, 0.5737029716803829, 1729892823434687088, 
0.5553420186042786, 0.13129578530788422, 0.6295519010731551, 1729892823543285868, 
0.5799304842948914, 0.14986371994018555, 0.6789463200445912, 1729892823642217156, 
0.6035358905792236, 0.16901594400405884, 0.7224225367858668, 1729892823743323452, 
0.6283048987388611, 0.1912911832332611, 0.7647657016118645, 1729892823852311920, 
0.6478728652000427, 0.21022634208202362, 0.8006130473931684, 1729892823943291867, 
0.668880045413971, 0.2322707325220108, 0.837079355869127, 1729892824042223713, 
0.6891580820083618, 0.2550440728664398, 0.8712545386158103, 1729892824143264818, 
0.7066991925239563, 0.27618077397346497, 0.8981503331365209, 1729892824232871295, 
0.7271152138710022, 0.30258709192276, 0.9252422177742707, 1729892824343297633, 
0.7454581260681152, 0.32727161049842834, 0.9451632533409773, 1729892824442228115, 
0.7632766366004944, 0.35216081142425537, 0.9691615271073236, 1729892824543252768, 
0.7787514328956604, 0.37490665912628174, 0.9876802469126944, 1729892824633245726, 
0.7967695593833923, 0.40282267332077026, 1.005010607157477, 1729892824743301810, 
0.8128634095191956, 0.4287843704223633, 1.0191441431718593, 1729892824842270966, 
0.8286310434341431, 0.4546827971935272, 1.0313014077930691, 1729892824943266259, 
0.8457216024398804, 0.4836274981498718, 1.0475896360870165, 1729892825052458666, 
0.8591443300247192, 0.5073785781860352, 1.05766373979128, 1729892825143314587, 
0.8741893172264099, 0.5339173674583435, 1.0663178060559213, 1729892825242239131, 
0.8888775110244751, 0.5608267188072205, 1.0763114998984356, 1729892825343272076, 
0.901868999004364, 0.5847882628440857, 1.0847736437736843, 1729892825432185572, 
0.9173135161399841, 0.6143388152122498, 1.0968618724837769, 1729892825543504490, 
0.9307871460914612, 0.641339898109436, 1.1091894219268779, 1729892825642327916, 
0.9443343877792358, 0.6690051555633545, 1.121488546883066, 1729892825743274299, 
0.956402063369751, 0.6935214400291443, 1.125993926303419, 1729892825832480094, 
0.9707514047622681, 0.7237107753753662, 1.1326911415705585, 1729892825944313841, 
0.9836670756340027, 0.751105010509491, 1.1414053812239446, 1729892826042244319, 
0.9963950514793396, 0.7794777154922485, 1.1532194288386752, 1729892826143310742, 
1.0097957849502563, 0.8099569082260132, 1.1635888497931803, 1729892826253125593, 
1.0205190181732178, 0.8348696827888489, 1.1710802641205476, 1729892826344689899, 
1.032481074333191, 0.8629153370857239, 1.178822983082732, 1729892826442253529, 
1.044123888015747, 0.8911405801773071, 1.1838649519536106, 1729892826543280599, 
1.0545521974563599, 0.9162126183509827, 1.1882164488625533, 1729892826634078881, 
1.0672261714935303, 0.9475088119506836, 1.1943765682225618, 1729892826744542307, 
1.0783387422561646, 0.9754549860954285, 1.2006096824265156, 1729892826842258228, 
1.0895992517471313, 1.0040931701660156, 1.2070458661894812, 1729892826943287858, 
1.1016286611557007, 1.0352898836135864, 1.2098885823562289, 1729892827053347927, 
1.1113487482070923, 1.060410499572754, 1.210972276063087, 1729892827144813948, 
1.1219265460968018, 1.0887465476989746, 1.2138141852008935, 1729892827242260526, 
1.1328483819961548, 1.1175216436386108, 1.2163940165174094, 1729892827343388815, 
1.1444944143295288, 1.1485949754714966, 1.21733107127411, 1729892827452833515, 
1.154396414756775, 1.1747440099716187, 1.2208684323071868, 1729892827546211730, 
1.164141058921814, 1.2013663053512573, 1.2249733207600033, 1729892827639306887, 
1.1744203567504883, 1.2298871278762817, 1.2268991030038998, 1729892827739330673, 
1.1856220960617065, 1.2611751556396484, 1.229128054641583, 1729892827850001999, 
1.195602536201477, 1.28912353515625, 1.2306967164356928, 1729892827947346443, 
1.205353856086731, 1.3156633377075195, 1.234184310997913, 1729892828039269505, 
1.2156083583831787, 1.3443799018859863, 1.2355988873269352, 1729892828139345893, 
1.226811408996582, 1.3760175704956055, 1.2365910519451886, 1729892828249999663, 
1.2366697788238525, 1.4042798280715942, 1.2390770489477536, 1729892828348746540, 
1.245749592781067, 1.4305877685546875, 1.2421751366586733, 1729892828439278173, 
1.2555476427078247, 1.4592450857162476, 1.2425805862546986, 1729892828538296255, 
1.2656141519546509, 1.4879734516143799, 1.2433658231033116, 1729892828638847756, 
1.2767150402069092, 1.5196090936660767, 1.2445896072652305, 1729892828748615524, 
1.286210060119629, 1.547051191329956, 1.2461251638548732, 1729892828843283437, 
1.296203374862671, 1.575637698173523, 1.2485005636617816, 1729892828942344180, 
1.30660879611969, 1.6067014932632446, 1.2474833839106496, 1729892829053185594, 
1.3146480321884155, 1.6305538415908813, 1.249010236226884, 1729892829143254375, 
1.3237192630767822, 1.657088041305542, 1.25107782667636, 1729892829243341942, 
1.332532286643982, 1.682450532913208, 1.252840226765083, 1729892829344317783, 
1.3397656679153442, 1.7045514583587646, 1.2526574383178377, 1729892829433784969, 
1.3483699560165405, 1.730043888092041, 1.2544347389372286, 1729892829543993706, 
1.3560630083084106, 1.7526588439941406, 1.256772445901016, 1729892829643291670, 
1.3635013103485107, 1.7746930122375488, 1.256082444239872, 1729892829744318889, 
1.3695695400238037, 1.7930315732955933, 1.2575457693967642, 1729892829833546229, 
1.3766227960586548, 1.8149168491363525, 1.2609944133520632, 1729892829943363041, 
1.3828341960906982, 1.8341503143310547, 1.262127218150566, 1729892830043296647, 
1.3888027667999268, 1.8524867296218872, 1.2643485543517718, 1729892830145342238, 
