imu_ax (m^2/s), imu_ay (m^2/s), kf_ax (m^2/s), kf_ay (m^2/s), kf_vx (m/s), kf_w (rad/s), kf_x (m), kf_y (m), stamp, 
-0.003267049789428711, -0.007162928581237793, -0.0018139095165394276, 2.1458383394164757e-16, -4.02531931548278e-05, -5.330852464704686e-12, 2.515824572176738e-06, 0.0, 1731705752001383112, 
-0.008452117443084717, 0.014735162258148193, -0.005401279892349128, 1.8628913477761814e-10, -0.00019598323312692526, -9.505360831401893e-07, 1.3394930640365902e-05, 9.002716284191068e-14, 1731705752052554179, 
0.002370476722717285, -0.0031628012657165527, -0.0012106561180199428, 2.372693972445433e-11, -0.00022584821100926264, -1.050570186871271e-07, 1.628238040709264e-05, -3.416397290562768e-13, 1731705752113990237, 
0.00751262903213501, 0.003923654556274414, 0.0034804091946406155, 1.728753448372464e-11, -3.2919493084022575e-05, -5.251458289348665e-07, -1.8475101931905152e-06, 1.543455864862839e-12, 1731705752142025845, 
-0.0008078813552856445, 0.015211880207061768, 0.0011673921846275092, -2.263916806492711e-06, -0.00011834632787161871, 0.019129590644743892, -3.059307874934446e-05, -1.2541309725164278e-08, 1731705752211369121, 
0.004556894302368164, -0.009954571723937988, 0.003026877526163961, 0.00047416016853982695, 0.0015036419982537217, 0.31534113112728984, 7.635863819501897e-05, -1.5053516888264856e-07, 1731705752261212607, 
0.19638758897781372, 0.6073841452598572, 0.10964623247715727, 0.07129038994875983, 0.10779233287196978, 0.6613679104007788, 0.008735622429397428, 0.00014611017553237, 1731705752302019845, 
-0.22002989053726196, 0.14847517013549805, -0.06823675595675857, 0.07752837637979301, 0.08303648296964816, 0.9336664271791413, 0.017370828117372623, 0.0010951947421369399, 1731705752351995948, 
-0.40273451805114746, 0.1584135890007019, -0.24762166917174291, 0.08248651608547214, 0.07891771327547092, 1.0452218223498686, 0.026383506033613287, 0.0027052743797561026, 1731705752401319645, 
0.5203946828842163, 0.06109493970870972, 0.16458778573019986, 0.06044783109674494, 0.058493280366566716, 1.0334149618200485, 0.03260690609989191, 0.00472224722478144, 1731705752611590188, 
-0.15977901220321655, 0.07350492477416992, -0.009861401855900148, 0.06293991040998231, 0.061517141526117966, 1.0231280070654827, 0.03794877649320744, 0.006831796569903125, 1731705752702055559, 
-0.2335541844367981, 0.22442752122879028, -0.12832927129066468, 0.11293057856805477, 0.11065808900799168, 1.0205361359520584, 0.046116827556613615, 0.010925790057345031, 1731705752801082837, 
0.7916382551193237, 0.1814805269241333, 0.3659449402310176, 0.12556925033514374, 0.12009331764450953, 1.045597313805949, 0.05491203143685217, 0.017049671395203615, 1731705752902097967, 
-0.08929973840713501, 0.1120041012763977, 0.12045750227516444, 0.11817773592028843, 0.11692228687159392, 1.010737465732887, 0.0632027259952168, 0.023911225738037813, 1731705753011433842, 
-0.20128196477890015, 0.038336753845214844, -0.05370041809301149, 0.07918481246176444, 0.07943761803206512, 0.9968175585249971, 0.0699609058393257, 0.030882849352928135, 1731705753101088344, 
0.6764494776725769, 0.10340464115142822, 0.33878845324819684, 0.09875703275704056, 0.09824543076174597, 1.0052073871662823, 0.0749199943552193, 0.03724676651403141, 1731705753201463362, 
-0.25948601961135864, -0.2754625082015991, 0.01334772451739602, -0.012360836681785455, -0.012483213051637826, 0.9901967250461758, 0.07649705553470057, 0.04013653367956398, 1731705753311302516, 
0.3897961974143982, -0.28740352392196655, 0.2141181867137292, -0.053626157974870185, -0.05094790573416506, 1.052568446182649, 0.07443554047277921, 0.03662311452522448, 1731705753411389195, 
0.05438399314880371, 0.0016272664070129395, 0.13104647253789126, 0.07063631437966739, 0.055350876171936764, 1.2761553071038907, 0.07434847453892064, 0.03583367723074768, 1731705753502177849, 
-0.4148266911506653, -0.14096373319625854, -0.16340333097522147, 0.0244698197144918, 0.017806476030849935, 1.3742090053134344, 0.07520568262442692, 0.03952473257174736, 1731705753601382068, 
