e, e_dot, e_int, stamp, 
-2.3561918651851124, 9.228673475784413e-06, -0.23750450683383206, 1731704642439587980, 
-2.3561862200113004, 2.213732995285748e-05, -0.23533981828212633, 1731704642488542710, 
-2.3561867032254757, 1.7206532122078972e-05, -0.23233884964191176, 1731704642538195911, 
-2.3561867032254757, -1.6107139177989893e-06, -0.11699220397107168, 1731704642538195911, 
-2.356199151147228, -4.149307250826221e-05, -0.15625490558255456, 1731704642604512655, 
-2.3561985051901804, -3.9339882348758216e-05, -0.2245560932665054, 1731704642633500465, 
-2.3554617146403722, 0.0024581216895199396, -0.3279639578812822, 1731704642743719142, 
-2.3542731743557592, 0.006417769448070487, -0.3768471595619807, 1731704642793499352, 
-2.3542731743557592, 0.003961800948710052, -0.1172159349451168, 1731704642793499352, 
-2.328276789005196, 0.08665461783521049, -0.44681070835438863, 1731704642983987602, 
-2.269833166155424, 0.2814666940011179, -0.6959175723706968, 1731704643093792457, 
-2.1780818639715314, 0.5006497501122157, -0.4733400805344473, 1731704643193547821, 
-2.0627367826163288, 0.6903212784636503, -0.4118609950299498, 1731704643283571149, 
-1.9364484317590391, 0.8054447740416407, -0.4336852503760026, 1731704643404167782, 
-1.8028480951863108, 0.8662956247667264, -0.4061690171545193, 1731704643493584947, 
-1.6642006412855366, 0.9074926349116752, -0.3410015037423036, 1731704643593490452, 
-1.5344604906917123, 0.8946253483153285, -0.3166578345455566, 1731704643683522316, 
-1.4179613351827027, 0.8207976870094461, -0.32634932535638167, 1731704643805560636, 
-1.310594529590083, 0.7462198703387646, -0.29819955432872775, 1731704643893373414, 
-1.2108708614934942, 0.6903015789640284, -0.24644307603414112, 1731704643993234955, 
-1.1238690532213207, 0.6224182545625409, -0.23109245084318988, 1731704644083555512, 
-1.0484587270183636, 0.5413737815837686, -0.23949738968478745, 1731704644205605627, 
-0.9775955627999522, 0.48757830140456165, -0.22041627861964203, 1731704644293480886, 
-0.9170879088314221, 0.43790272728980506, -0.18484001073824244, 1731704644394016514, 
-0.869737408524061, 0.35952718091963726, -0.17544800721354972, 1731704644483880266, 
-0.8258220681840718, 0.30421946882450107, -0.1790817874759545, 1731704644599649071, 
-0.7824029145178437, 0.2911149800207243, -0.1733240802667567, 1731704644693718899, 
-0.7394188007899114, 0.2880108913138679, -0.15186866395132828, 1731704644793718544, 
-0.7005251741761758, 0.27292580113889314, -0.14088251421451628, 1731704644883899624, 
-0.6628145961110663, 0.2553473489294837, -0.1444869057679863, 1731704644999857624, 
-0.6257850251421306, 0.24913383011348378, -0.13896135355341668, 1731704645093481276, 
-0.589743864092743, 0.2435691067277442, -0.12150867200685704, 1731704645193925439, 
-0.554456530637268, 0.23776164834954225, -0.11217442546122139, 1731704645283608987, 
-0.5154564854448456, 0.24762459549299157, -0.11352889970038794, 1731704645399140567, 
-0.4743938544984174, 0.2668755871295018, -0.10805796546163796, 1731704645493524453, 
-0.43601595879223787, 0.26480175550869234, -0.09302068746018985, 1731704645594854613, 
-0.39992991926481825, 0.2482131174453306, -0.08316429883682086, 1731704645683927667, 
-0.3659737793807585, 0.23347393137159797, -0.07555294931318132, 1731704645783435311, 
-0.3339263521189415, 0.2200118904862558, -0.07699765594411719, 1731704645893953723, 
-0.3045096083647776, 0.20488057005326965, -0.07067448212611689, 1731704645994527894, 
-0.2780821140464771, 0.18614746024154805, -0.058033028124575135, 1731704646083910789, 
-0.2544817874613394, 0.16675940301146053, -0.038872561796073415, 1731704646133843837, 
-0.23506675945931432, 0.14338451529054255, -0.05365633103584315, 1731704646293606677, 
-0.21956265785572082, 0.11639709868539534, -0.06164074187461077, 1731704646394624127, 
-0.20751516966131556, 0.09183863265999588, -0.04194241769834752, 1731704646483636552, 
-0.19503352476348956, 0.0817637769741042, -0.039105201895223776, 1731704646583200666, 
-0.18370896512447787, 0.07935401512279228, -0.041021927762157594, 1731704646693554122, 
-0.17343615196424533, 0.07199124266414743, -0.039090019627216456, 1731704646795577694, 
-0.16395824030669015, 0.06583574939262575, -0.03302026626351697, 1731704646883652300, 
-0.1562652415448622, 0.05723636806461041, -0.03374716495920851, 1731704647000661294, 
-0.14866371988036242, 0.050981734754425766, -0.03284688981130906, 1731704647093810882, 
-0.14086432197135057, 0.05133639857837213, -0.028359981678187703, 1731704647191511960, 
-0.1337139314067124, 0.04983262824550009, -0.02677874650575824, 1731704647283622490, 
-0.12642575730930616, 0.04812854887348136, -0.025730437182903434, 1731704647384007071, 
-0.11925195636124686, 0.04820658348488512, -0.026573287004880385, 1731704647493747995, 
-0.11133570557729122, 0.050300172440049806, -0.024616562580456133, 1731704647590861166, 
-0.10239659246378974, 0.05618454632485707, -0.021086620831447602, 1731704647683726535, 
-0.09192968822538683, 0.06468672450634798, -0.019609709679684152, 1731704647783325822, 
-0.08247835364916645, 0.06639412938207763, -0.019360955010898795, 1731704647893559962, 
-0.07647441971407787, 0.0515175617043632, -0.017422286094817722, 1731704647991657875, 
