imu_ax, imu_ay, kf_ax, kf_ay, kf_vx, kf_w, kf_x, kf_y, stamp, 
-0.0083121657371521, 0.009450554847717285, -0.006924405472064704, -1.413215943401e-12, -5.758341348910361e-05, 2.4542066157096087e-08, 1.4395853372275892e-05, 0.0, 1731706775125107831, 
-0.013799786567687988, 0.023748815059661865, -0.012208770277480904, 2.152537521184056e-10, -0.0002057309307101667, -1.0462877476681163e-06, 3.597339229904941e-05, 8.972446927808276e-14, 1731706775174866549, 
-0.008490920066833496, -0.01049494743347168, -0.009355725414069337, -4.550210312680351e-10, -0.0003169259600757331, 1.4357329111168507e-06, 4.8586691333266796e-05, -5.506953723334882e-13, 1731706775225511916, 
0.018918752670288086, -0.018589794635772705, 0.012308489210902173, -4.0934687047538177e-05, 0.002404715594305188, -0.017022672928340924, 0.000112749689868176, 4.881475234105191e-09, 1731706775270503916, 
0.09720838069915771, -0.03690755367279053, 0.0774443656465172, -0.00713898208142842, 0.029362812040416533, -0.24313005415155559, 0.001091647353915348, -8.054851635046998e-07, 1731706775314301546, 
0.31226587295532227, -0.08972549438476562, 0.25738783513020397, -0.029666689090771737, 0.07149117028007454, -0.41496997425764903, 0.004941933101181719, -3.8182651687872145e-05, 1731706775364299018, 
1.4168435335159302, -0.22379326820373535, 1.1451511110061774, -0.08364106221094815, 0.141429485317843, -0.5913976284575777, 0.012712233382648, -0.0003488782172587362, 1731706775414297123, 
0.9548812508583069, -0.41407638788223267, 0.9994781125454049, -0.18647569717101792, 0.2500749161990659, -0.7456793348381194, 0.026663008418389565, -0.0015651122011650094, 1731706775466616598, 
0.7200573682785034, -0.6514664888381958, 0.7857369744013669, -0.35688983159657967, 0.3712258152162908, -0.9613820401704596, 0.051751416384171176, -0.005381250843369706, 1731706775511437855, 
-0.1849777102470398, -0.5887885689735413, 0.04222241261118087, -0.4386941493861478, 0.36622869925390533, -1.197869392212767, 0.08586279929002873, -0.013501275395461112, 1731706775604588865, 
0.5139412879943848, -0.18260538578033447, 0.40211925498697876, -0.24848703446112083, 0.17694827019889853, -1.4042919672614445, 0.11592913156245915, -0.02414737363857463, 1731706775715452885, 
0.09615957736968994, -0.6139698624610901, 0.168850068336177, -0.5216319152032852, 0.35990790639843484, -1.449348308080274, 0.13369050086015755, -0.032905495399345, 1731706775912134810, 
0.006024062633514404, -0.4673879146575928, 0.04370857319780885, -0.44486047310988747, 0.29848833866373303, -1.4903780666991229, 0.162457265829668, -0.052709480543119316, 1731706775955400769, 
-0.21027010679244995, -0.5185008645057678, -0.15063451815307952, -0.4707757239700473, 0.3117355331389155, -1.5101766527213962, 0.18439852326445907, -0.07307104431360066, 1731706776115310478, 
-0.23561221361160278, 0.3819223642349243, -0.21795468604125928, 0.06571304432944637, -0.04674018705752181, -1.4059217231752883, 0.20156511170190647, -0.0946619431553544, 1731706776165493705, 
-0.4546687602996826, -0.3371966481208801, -0.3973054845216314, -0.3038317651108764, 0.20966436694763543, -1.449134011344711, 0.20081347085409904, -0.0932507720784616, 1731706776262491480, 
-1.1304121017456055, 0.03532695770263672, -0.9590485720120142, -0.09467813534967104, 0.07869699592602186, -1.2030717848324484, 0.20842210295209782, -0.11192660131981522, 1731706776422927435, 
0.010096907615661621, 0.002670466899871826, -0.21672764687455126, -0.061027294807125675, 0.06254687265470336, -0.9757049747959953, 0.21067572823116906, -0.12072570777451891, 1731706776515435222, 
0.7984634637832642, -0.39478492736816406, 0.5618303755197424, -0.2702487820108369, 0.27166312832264017, -0.9947937494479431, 0.21192143728947785, -0.12983895736206585, 1731706776565325374, 
0.03519707918167114, -0.13538360595703125, 0.15809124186273832, -0.2234626137070307, 0.22791158385922689, -0.9804794031226417, 0.2127958676717521, -0.15547590194947086, 1731706776662590189, 
-0.41059839725494385, -0.4943535327911377, -0.2763656482402171, -0.381865962438837, 0.3762510475398896, -1.0149233203087684, 0.21121292376423031, -0.18059808921461537, 1731706776822412116, 
-0.46169716119766235, -0.3504185676574707, -0.41835913502842415, -0.33028476334639784, 0.32765122790953755, -1.0080376180906223, 0.20514808794457332, -0.21743928907544655, 1731706776915451373, 
-0.6061562299728394, 0.3992464542388916, -0.5635996371332903, -0.04040429877183175, 0.05876820478975517, -0.6875197041730169, 0.19730385392933242, -0.24663823972830207, 1731706776965339495, 
-0.04625803232192993, -0.30044108629226685, -0.1657039953933842, -0.1611115707753117, 0.3078078214505033, -0.5234161042955144, 0.1933243904767342, -0.257706486391453, 1731706777062327913, 
0.025811731815338135, 0.2296573519706726, -0.01965339851121367, -0.08460906512543896, 0.2032574667556214, -0.4162654709613465, 0.18151083410360108, -0.28420739935414957, 1731706777156034841, 
0.07449781894683838, -0.14396291971206665, 0.053040407778307444, -0.16055599396632395, 0.3034973524979022, -0.5290194218990221, 0.1713485913108892, -0.30426686436433553, 1731706777315458968, 
0.10500162839889526, 0.3050711750984192, 0.09203636016599816, -0.0799324835377885, 0.17890252840836454, -0.4467934816177326, 0.1580363318538933, -0.3278333509664113, 1731706777365485745, 
-0.5535683035850525, 0.08533245325088501, -0.402037201388734, -0.08703263666092381, 0.20557711255151598, -0.42335761788226367, 0.14804688034488725, -0.3436553851287196, 1731706777463336339, 
-0.880693256855011, -0.0857306718826294, -0.7684183707645827, -0.05096867991762568, 0.16746490084987065, -0.3043544029761688, 0.13603124006618558, -0.36097496518822175, 1731706777623832625, 
-0.7671279311180115, 0.16066569089889526, -0.7675873586455421, -0.01280456802411104, 0.0654712163851519, -0.19557553274686013, 0.1262325233870483, -0.3739696479375406, 1731706777673323051, 
-1.1439998149871826, 0.07485580444335938, -1.055401343528921, -0.006022948132546423, 0.04181594577227481, -0.1440347221929825, 0.12106844458238761, -0.3804661790089945, 1731706777715424351, 
-0.08754420280456543, -0.09868544340133667, -0.3141785856006055, -9.584387100875892e-05, 0.0011170079883452977, -0.08580410526046386, 0.11751246219481139, -0.3847682681229927, 1731706777815349141, 
-0.15217739343643188, 0.022617876529693604, -0.19003923170723208, 0.0001970277053518992, -0.006929611700331007, -0.028432719446962344, 0.11704008745207772, -0.38532846289897055, 1731706777955789850, 
-0.025745928287506104, 0.03165292739868164, -0.0641649840952683, 3.493702484632395e-05, -0.0059513071392487266, -0.005870479212191068, 0.11715906959618855, -0.38519199255655495, 1731706778073422748, 
1.1227974891662598, 0.1878260374069214, 0.8447861120548219, -0.005263487013336125, 0.055093328397154605, -0.09553764795971134, 0.11665284701017972, -0.38577775413205073, 1731706778165414861, 
1.245308518409729, -0.01668369770050049, 1.151466546001537, -0.02089582636564349, 0.15694874579691193, -0.13313789963433165, 0.11283494364988086, -0.3901544232715129, 1731706778263614454, 
0.02160477638244629, 0.0880092978477478, 0.2865105757724503, -0.044836867337007695, 0.2541421576164977, -0.1764243593330424, 0.1023235939736636, -0.4019475156593945, 1731706778423417539, 
-0.2175285816192627, 0.04228717088699341, -0.09944013056911405, -0.05273899376594243, 0.25961421675662266, -0.20314370462763603, 0.08542182084137064, -0.4203592591341539, 1731706778516349397, 
0.3297683596611023, -0.21629422903060913, 0.22930207554710075, -0.06540150691300056, 0.2846934758642639, -0.22972604733725152, 0.06697958122439338, -0.43972490963618505, 1731706778566646180, 
-0.12747913599014282, 0.23408180475234985, -0.04424950575514702, -0.03876836161040211, 0.23029833299107322, -0.16833974048741746, 0.048348030648256025, -0.4584897366841828, 1731706778663418801, 
-1.1915034055709839, 0.7995631098747253, -0.9231635358409345, -0.0018976631417074426, 0.09886423008156583, -0.019194638345353177, 0.033869310379274646, -0.4724836763334408, 1731706778756927009, 
-0.8470962643623352, -0.09589391946792603, -0.8646976953780452, -0.001605920884453511, 0.047687527557216114, -0.03367590996464864, 0.0258210148777014, -0.4800605896456257, 1731706778916609429, 
-0.9395858645439148, -0.16639643907546997, -0.921746948547854, -0.00033407502663215956, 0.008391569970715378, -0.03981078961362457, 0.02126728080820407, -0.4843280948610413, 1731706778966355490, 
1.223248839378357, 0.07255911827087402, 0.7211488644956798, -0.00925434767101124, 0.09029194159717405, -0.10249361689771086, 0.017679960046023784, -0.4876662889359432, 1731706779114670409, 
0.09368139505386353, -0.14613878726959229, 0.24117495154002605, -0.038208709545438285, 0.21766110316019752, -0.17554220295078107, 0.00952423188184502, -0.49515980289038014, 1731706779225777644, 
-0.06548970937728882, 0.11928170919418335, 0.006531329681990911, -0.05047287821620558, 0.25769392458025, -0.19586367159574816, -0.00717420208521493, -0.5101242851046297, 1731706779315362461, 
-0.25814998149871826, 0.3020501136779785, -0.19626181127003034, -0.04189657821057642, 0.2252524588232323, -0.1859983168639012, -0.02604375903716643, -0.5264252655216247, 1731706779365382772, 
-0.39621293544769287, -0.08723992109298706, -0.348985165597017, -0.05748533543924573, 0.26180005918026406, -0.2195772438678627, -0.04471249555743644, -0.5419407812984817, 1731706779465521683, 
-0.5691996216773987, 0.3702254295349121, -0.5179607009199717, -0.02094453420353542, 0.15666329873126633, -0.13369139021809312, -0.06369780780428647, -0.557107979041638, 1731706779555983696, 
-1.0195356607437134, 0.06188035011291504, -0.9018972797441009, -0.01116266951678548, 0.10393824991821751, -0.10739712786744711, -0.07635169217617715, -0.5668217797458498, 1731706779675399813, 
-0.3921934962272644, -0.18342316150665283, -0.5115658370322561, -0.0037669550865057004, 0.04462018815221494, -0.08442266253237907, -0.08519861169660971, -0.5734361668610701, 1731706779766368301, 
-0.026948750019073486, 0.09040409326553345, -0.14062423106168426, 0.00014457495270038542, -0.007814522971429516, -0.018500803341286773, -0.08856442192845788, -0.5759007103460569, 1731706779865405871, 
0.02032536268234253, -0.07183659076690674, -0.01731544886080487, 1.7035539449353557e-06, -0.0029191726265771906, -0.0005835742392983519, -0.08832386211040501, -0.575728356650207, 1731706779955821680, 
-0.05573171377182007, 0.030756235122680664, -0.04670160851538089, 4.038616463101229e-07, -0.0012821512967784669, -0.00031498751147767475, -0.08818823118905439, -0.5756309035803348, 1731706780115483694, 
-0.07729959487915039, 0.016622602939605713, -0.07009648846961056, -1.8247430637872397e-06, -0.001413838494225217, 0.0012906304866081599, -0.08821103194320212, -0.5756473591752675, 1731706780165450909, 
-0.044533371925354004, 0.0043561458587646484, -0.05049090023242114, -1.270689009146364e-06, -0.0018186918248940462, 0.0006986829718775428, -0.08824801057592815, -0.5756739795714609, 1731706780265537700, 
-0.04458034038543701, 0.05629563331604004, -0.04593596533816029, 3.198287447814429e-07, -0.0015757968246931002, -0.00020296318647788382, -0.08822884465339491, -0.5756601819810124, 1731706780425939808, 
0.0062142014503479, -0.00926661491394043, -0.005989041248012819, 4.234325534612908e-07, -0.0012375175767700827, -0.0003421628600754492, -0.08819869611562069, -0.5756384767166706, 1731706780515529815, 
0.008357644081115723, 0.0053653717041015625, 0.005001060925733195, 9.366088473867771e-08, -0.00038143896647473206, -0.00024554618948424126, -0.08812758436801156, -0.5755872864898084, 1731706780566500751, 
-0.0013812780380249023, -0.024512946605682373, 0.00011515972181053765, 4.793889262208568e-09, 2.492615887272655e-05, 0.0001923236262228071, -0.0880973071346524, -0.5755654924237262, 1731706780665372333, 
-0.0335613489151001, -0.007865309715270996, -0.025663565493964723, 1.4306432832395628e-09, -0.0001467345868689021, -9.749870932050604e-06, -0.08811064413553116, -0.5755750925017457, 1731706780825917557, 
-0.0241239070892334, 0.015850841999053955, -0.02447297106367045, 4.3586003107212906e-08, -0.0006335901691983167, -6.879210762118104e-05, -0.08814957601829503, -0.5756031159534987, 1731706780915477834, 
0.02140730619430542, -0.010512053966522217, 0.010660977716500108, -3.5887588729259744e-08, -0.0005092086548576305, 7.047717745350095e-05, -0.08814032161676438, -0.5755964544994278, 1731706780966424498, 
0.002538919448852539, 0.012864649295806885, 0.004441064723334959, -2.3710463785048238e-08, 5.897641583059725e-05, -0.00040203297286077423, -0.08809047089860818, -0.5755605720869913, 1731706781065498591, 
-0.010699033737182617, 0.01259082555770874, -0.007150459593794083, 6.955155433545345e-09, 6.43235207879917e-05, 0.00010812771670986915, -0.08809150604391389, -0.575561317138017, 1731706781155548746, 
-0.001203775405883789, -0.005374252796173096, -0.0025954783623509704, -1.5248675334582397e-08, -0.00011713310162058473, 0.0001301824601552481, -0.08810715856424187, -0.5755725831823767, 1731706781315508232, 
-0.012000083923339844, -0.003838837146759033, -0.009792798652638195, -4.139280868929579e-09, -0.00013032777513402458, 3.176054271372995e-05, -0.0881081889162824, -0.575573324791718, 1731706781366384510, 
0.00203704833984375, -0.022014856338500977, -0.0007324170834475518, -2.002209294079758e-09, -0.00020764813117889603, 9.642317909207599e-06, -0.08811440763657342, -0.5755778008973393, 1731706781465641446, 
-0.005409538745880127, -0.025241613388061523, -0.004311390422631671, -5.439179842153437e-10, -8.670624908382023e-05, 6.273111684136285e-06, -0.08810457206721826, -0.5755707213300417, 1731706781555110549, 
0.001689910888671875, -0.0011463165283203125, 0.0002847577242486993, -1.4621040776571418e-10, -9.452859243831333e-05, 1.5467320944308667e-06, -0.08810520635719751, -0.5755711778848365, 1731706781715520961, 
0.008342564105987549, -0.008972406387329102, 0.006453101773744601, 2.0579613927553278e-11, 2.0337160710084718e-05, 1.0119216846896594e-06, -0.08809588256285462, -0.5755644666885744, 1731706781766477188, 
0.0045737624168396, -0.0006184577941894531, 0.005011556281134064, 3.355507081384394e-11, 0.00014742910343270958, 2.2760140320028015e-07, -0.08808556755084782, -0.5755570420177339, 1731706781865771742, 
