imu_ax (m^2/s), imu_ay (m^2/s), kf_ax (m^2/s), kf_ay (m^2/s), kf_vx (m/s), kf_w (rad/s), kf_x (m), kf_y (m), stamp, 
-0.017500877380371094, -0.0009113550186157227, -0.011660784152553247, -7.210068217939861e-17, -0.0001940230308245133, 3.716088851565824e-13, 1.9402303082451326e-05, 0.0, 1731704897097711372, 
-0.010526478290557861, -0.004471123218536377, -0.010937436829412568, -2.690725286432194e-10, -0.0004962710638285719, 5.421886308812995e-07, 4.962710638269104e-05, -2.103937542880939e-13, 1731704897136709052, 
-0.0011803507804870605, -0.015312492847442627, -0.004883872158110291, -2.45743534786796e-09, -0.000500416341642488, 4.910781570006407e-06, 5.0040803938261864e-05, -6.327712516469448e-12, 1731704897186116724, 
-0.0010643601417541504, -0.0152549147605896, -0.002513608135047944, -2.2174257291785175e-09, -0.00033627384990405284, 6.594106945310208e-06, 3.361906341023031e-05, -1.8715403551072642e-11, 1731704897236629718, 
-0.008122444152832031, -0.009779155254364014, -0.005972086653921236, -1.2873676603754467e-09, -0.0002828731387622702, 4.551042442588956e-06, 2.8272543816706405e-05, -3.056163482434325e-11, 1731704897297152917, 
0.002894282341003418, -0.018360912799835205, -0.00048610107467982836, -1.1974950514566408e-09, -0.00024200148421210578, 4.948296310476669e-06, 2.417702223203155e-05, -4.0495043037027736e-11, 1731704897346682017, 
-0.028008222579956055, -0.028886020183563232, -0.017483304075448108, -2.4858796090405567e-09, -0.00040027536158520965, 6.210423742285143e-06, 3.999011631090547e-05, -3.619375719733727e-11, 1731704897396162226, 
-0.01605403423309326, 0.31584984064102173, -0.016488326392087138, 0.0010032649625831838, 0.004466025622138265, 0.2246437990883796, 0.00040449113007917826, -3.0034348016705006e-07, 1731704897446999759, 
-0.753521740436554, 0.0716019868850708, -0.4712623336216408, 0.017892792153657393, 0.023731192177836122, 0.7539778035411329, 0.003389766472822396, 2.8954244410111393e-05, 1731704897536692342, 
0.24269342422485352, -0.12584525346755981, -0.030437091546428485, -0.024270609546334265, -0.026444438014586468, 0.9177963824735794, 0.004371372677749574, 0.00015749822573768218, 1731704897696579251, 
0.7236586809158325, 0.10894930362701416, 0.4367803427687568, 0.05387731017875225, 0.05668756456183337, 0.9504255579719646, 0.004904132491360473, 0.00014953196597668357, 1731704897796598690, 
-0.16831785440444946, 0.19492870569229126, 0.06360456114079477, 0.12482297774268258, 0.12491833472578451, 0.999236645418695, 0.012182896651968185, 0.001874187481122394, 1731704897897595562, 
0.27197837829589844, 0.1079857349395752, 0.1918004494696432, 0.10853303762351692, 0.10645682247411191, 1.019502884842443, 0.022764613736054255, 0.005772439517113473, 1731704897986729229, 
0.196058988571167, -0.4136437773704529, 0.19050679461372264, -0.09021764017099447, -0.08081214768484285, 1.116387112032115, 0.02509634752211339, 0.007289383340075491, 1731704898086838668, 
-0.1333603858947754, -0.32271069288253784, -0.010258606787585084, -0.11089252029852943, -0.10242970260147613, 1.082620738732198, 0.01730911487728388, 0.002472098894585814, 1731704898196689332, 
0.12118208408355713, -0.3168386220932007, 0.07080458931058384, -0.1097418092710999, -0.10876109805711554, 1.0090171139451842, 0.00899268968732957, -0.0040204992348151945, 1731704898297608001, 
0.27906471490859985, 0.11721491813659668, 0.20259078732767055, 0.064756244318642, 0.06326931015314671, 1.0235016655294027, 0.005226697227178386, -0.00793158712875925, 1731704898386797050, 
