x, y, theta, stamp, 
-2.0556523594450482e-08, 2.4176459945124407e-08, -2.383962690827501e-07, 1729888656493409723, 
-2.0556523594450482e-08, 2.4176459945124407e-08, -2.3839609597072142e-07, 1729888656544122149, 
-2.0556523594450482e-08, 2.4176459945124407e-08, -2.3839639816934497e-07, 1729888656594129994, 
-2.0556523594450482e-08, 2.4176459945124407e-08, -2.3839600471393466e-07, 1729888656644061027, 
-2.0556523594450482e-08, 2.4176459945124407e-08, -2.3839557226746452e-07, 1729888656683265191, 
-1.7678395352049847e-06, 2.079193563986337e-06, -2.05040132243796e-05, 1729888656734996853, 
0.001937229884788394, 1.0462154023116454e-05, 0.004983689702444989, 1729888656803679710, 
0.005143866874277592, 0.00033391002216376364, 0.012367633548312544, 1729888656844024132, 
0.011402446776628494, 0.0010052981087937951, 0.026659252843570937, 1729888656894088231, 
0.01862569898366928, 0.001635308493860066, 0.04354843875190385, 1729888656944069714, 
0.02745058946311474, 0.002642114646732807, 0.06269742237493635, 1729888656994120881, 
0.03799472004175186, 0.003941576462239027, 0.08724733598923719, 1729888657044074886, 
0.06199138984084129, 0.006979780271649361, 0.14227833535767598, 1729888657133496244, 
0.09378783404827118, 0.012315497733652592, 0.2164600290553318, 1729888657243187991, 
0.12036367505788803, 0.018690582364797592, 0.2758865269966559, 1729888657344064695, 
0.14823032915592194, 0.027366355061531067, 0.3345338286977897, 1729888657443410632, 
0.17809906601905823, 0.03889019787311554, 0.37782330061747116, 1729888657533665046, 
0.21539707481861115, 0.0548395961523056, 0.4289360778557213, 1729888657644156551, 
0.24810832738876343, 0.07115210592746735, 0.4725377935478817, 1729888657744083154, 
0.2803439795970917, 0.0887492373585701, 0.5144342955061267, 1729888657844085408, 
0.30964308977127075, 0.10643304884433746, 0.5489448094648048, 1729888657934863273, 
0.34432753920555115, 0.1291300654411316, 0.585795177653286, 1729888658044123799, 
0.3755050003528595, 0.1511877477169037, 0.6181415207220301, 1729888658144079982, 
0.40571215748786926, 0.17406342923641205, 0.6481782220836181, 1729888658243718026, 
0.43288788199424744, 0.19545015692710876, 0.6724283205786495, 1729888658334923815, 
0.46670636534690857, 0.2229510247707367, 0.6947430859441113, 1729888658443236342, 
0.4963794946670532, 0.24844670295715332, 0.7178222182418235, 1729888658544085637, 
0.5252904295921326, 0.2746865749359131, 0.737894473153583, 1729888658644133351, 
0.5513138771057129, 0.29870927333831787, 0.754840753885521, 1729888658734384370, 
0.5819742679595947, 0.32837003469467163, 0.7785869659081551, 1729888658844160556, 
0.6084030270576477, 0.35524749755859375, 0.802475808497772, 1729888658943447866, 
0.6335241794586182, 0.3820202052593231, 0.8272958113479839, 1729888659044109043, 
0.6543771028518677, 0.40541544556617737, 0.8505543300407613, 1729888659136084134, 
0.6783697009086609, 0.43371421098709106, 0.8773974946832911, 1729888659244134143, 
0.6987276673316956, 0.45911678671836853, 0.9033912172353803, 1729888659344097195, 
0.7172175049781799, 0.4834493398666382, 0.9278975176115174, 1729888659444101966, 
0.7331510782241821, 0.505323588848114, 0.9508901300626507, 1729888659533954941, 
0.7507442235946655, 0.5310378074645996, 0.9732460922191309, 1729888659643407188, 
0.7656397819519043, 0.553960919380188, 0.9944186732354833, 1729888659744127642, 
0.7790491580963135, 0.5755683183670044, 1.0144434673525193, 1729888659844092041, 
0.7905202507972717, 0.5944643020629883, 1.0249318818733144, 1729888659933416430, 
0.8034532070159912, 0.6167411208152771, 1.0433617047419026, 1729888660043740539, 
0.81430584192276, 0.6362664699554443, 1.0582133941674328, 1729888660144109028, 
0.8243208527565002, 0.655288577079773, 1.0713978383960698, 1729888660244097718, 
0.8328490257263184, 0.6709544658660889, 1.0817238841231316, 1729888660333993511, 
0.8422993421554565, 0.6894380450248718, 1.0896848299489774, 1729888660443170310, 
0.8504846692085266, 0.705775260925293, 1.097990519882201, 1729888660544095539, 
0.8580812811851501, 0.7212769985198975, 1.1040204886792926, 1729888660643451232, 
0.8647176027297974, 0.7345470190048218, 1.109014684778245, 1729888660733909750, 
0.8714248538017273, 0.7483289837837219, 1.1114625619013148, 1729888660833210284, 
0.878631055355072, 0.7626875042915344, 1.1151568851731457, 1729888660944114750, 
0.8847065567970276, 0.7750053405761719, 1.1151568851731457, 1729888661044115970, 
0.8901347517967224, 0.7854562997817993, 1.1136780119684597, 1729888661134090344, 
0.8959385752677917, 0.7977508902549744, 1.113678011963792, 1729888661244213205, 
0.9011874794960022, 0.8081391453742981, 1.1119038635690748, 1729888661344120242, 
0.9060530066490173, 0.8179128766059875, 1.109069507994968, 1729888661443293835, 
0.9103932976722717, 0.8265150189399719, 1.1088349433560931, 1729888661533321950, 
0.9150519371032715, 0.8354154229164124, 1.1088770603440068, 1729888661633231438, 
0.9196963906288147, 0.8444839119911194, 1.1058952084776101, 1729888661744121125, 
0.9236377477645874, 0.852523148059845, 1.1048297378345058, 1729888661844124563, 
0.926986813545227, 0.8595739603042603, 1.1048297378345058, 1729888661934084930, 
0.931122899055481, 0.867414653301239, 1.1045177204959222, 1729888662044680447, 
0.9348787665367126, 0.8739912509918213, 1.1025326788827998, 1729888662144127344, 
0.9380151629447937, 0.880569338798523, 1.1001349050606062, 1729888662244116938, 
0.9407396912574768, 0.8860307335853577, 1.0988415339642126, 1729888662334051990, 
0.9439071416854858, 0.8917776346206665, 1.0992862948259203, 1729888662433631426, 
