x, y, th, stamp, 
-0.5322583317756653, -2.09307861328125, -2.0209122095388823, 1728074279444580444, 
-0.5322583317756653, -2.09307861328125, -2.0209122095388823, 1728074279484496090, 
-0.5323199033737183, -2.093140125274658, -2.020526872317118, 1728074279535596994, 
-0.5340827703475952, -2.096163749694824, -2.0206933983120363, 1728074279584459363, 
-0.5361993908882141, -2.1008529663085938, -2.020890081292333, 1728074279634561342, 
-0.5387049317359924, -2.1061456203460693, -2.0201207483849064, 1728074279684295413, 
-0.5407851934432983, -2.1099963188171387, -2.019028668243077, 1728074279725433045, 
-0.5427824854850769, -2.11445951461792, -2.0195684378638146, 1728074279775764093, 
-0.5452906489372253, -2.1195592880249023, -2.0195684378638146, 1728074279844483494, 
-0.5466353893280029, -2.122652530670166, -2.0195684378638146, 1728074279884621636, 
-0.5489811897277832, -2.126613140106201, -2.0195684378638146, 1728074279935444958, 
-0.5508047938346863, -2.1308348178863525, -2.0201925640552476, 1728074279984498824, 
-0.5530152320861816, -2.1346850395202637, -2.0201925640552476, 1728074280034459219, 
-0.5548208355903625, -2.138820171356201, -2.0204429525886827, 1728074280085466403, 
-0.5563504695892334, -2.142103433609009, -2.0209675579673747, 1728074280124748947, 
-0.5591111779212952, -2.1478211879730225, -2.020986211447397, 1728074280194859924, 
-0.561284065246582, -2.1519272327423096, -2.021563132758546, 1728074280244474290, 
-0.5630261301994324, -2.1551783084869385, -2.0219499948800443, 1728074280284458827, 
-0.5650402307510376, -2.1595866680145264, -2.0219499948800443, 1728074280336464150, 
-0.5673027634620667, -2.163552761077881, -2.0219499948800443, 1728074280384487558, 
-0.5691062211990356, -2.167766809463501, -2.0219499948800443, 1728074280434470290, 
-0.5712940096855164, -2.1717352867126465, -2.0219499948800443, 1728074280484553047, 
-0.5727906227111816, -2.1752028465270996, -2.0219499948800443, 1728074280524888158, 
-0.5755469799041748, -2.1807072162628174, -2.0219499948800443, 1728074280594941350, 
-0.5772385597229004, -2.184821605682373, -2.0219499948800443, 1728074280644465301, 
-0.5791377425193787, -2.187992572784424, -2.022057572483513, 1728074280684539252, 
-0.5811988115310669, -2.1919445991516113, -2.022057572483513, 1728074280734466202, 
-0.5830463171005249, -2.1959965229034424, -2.022057572483513, 1728074280784470110, 
-0.5852214097976685, -2.1999990940093994, -2.021640681790596, 1728074280834473927, 
-0.5870402455329895, -2.204249382019043, -2.021640681790596, 1728074280884668719, 
-0.5888559818267822, -2.207404375076294, -2.021640681790596, 1728074280924551153, 
-0.5915984511375427, -2.213392734527588, -2.021640681790596, 1728074280994631235, 
-0.5938347578048706, -2.217306137084961, -2.021640681790596, 1728074281045485211, 
-0.5954440832138062, -2.220623254776001, -2.021640681790596, 1728074281085472691, 
-0.5975383520126343, -2.224821090698242, -2.022556280616739, 1728074281134614214, 
-0.5995197296142578, -2.2288753986358643, -2.022556280616739, 1728074281184475668, 
-0.6014073491096497, -2.232984781265259, -2.022556280616739, 1728074281234589379, 
-0.6035325527191162, -2.237091302871704, -2.022556280616739, 1728074281284706199, 
-0.6049768328666687, -2.2406270503997803, -2.022556280616739, 1728074281324487207, 
-0.608045756816864, -2.2461647987365723, -2.0235282742711442, 1728074281394488235, 
-0.6098265647888184, -2.250460147857666, -2.0240539289555084, 1728074281444490657, 
-0.611627459526062, -2.2536323070526123, -2.0240539289555084, 1728074281485478474, 
-0.613458514213562, -2.2577900886535645, -2.0240539289555084, 1728074281534478083, 
-0.6154382824897766, -2.261986494064331, -2.0240539289555084, 1728074281584685228, 
-0.6175817251205444, -2.2661383152008057, -2.0240539289555084, 1728074281634599552, 
-0.6193920373916626, -2.2704362869262695, -2.0240539289555084, 1728074281684793098, 
-0.6213247776031494, -2.273611545562744, -2.0240539289555084, 1728074281726060705, 
-0.6232582330703735, -2.278101682662964, -2.0240539289555084, 1728074281774555358, 
-0.6262516379356384, -2.28354811668396, -2.0240539289555084, 1728074281845641973, 
-0.6274059414863586, -2.286916494369507, -2.0240539289555084, 1728074281885659957, 
-0.629935622215271, -2.2908096313476562, -2.023017437847628, 1728074281934598956, 
-0.6318883895874023, -2.2951135635375977, -2.022584514699691, 1728074281984681025, 
-0.6339247822761536, -2.2992618083953857, -2.022584514699691, 1728074282034629666, 
-0.6361369490623474, -2.3034141063690186, -2.022584514699691, 1728074282084447134, 
-0.6373600363731384, -2.306825637817383, -2.022584514699691, 1728074282125616460, 
-0.639783501625061, -2.3107755184173584, -2.0214882893610904, 1728074282174579062, 
-0.6422742009162903, -2.3166842460632324, -2.0224386573646957, 1728074282244576576, 
-0.6441672444343567, -2.3198351860046387, -2.0224386573646957, 1728074282285621997, 
-0.6461358070373535, -2.3242805004119873, -2.022042304299504, 1728074282335000939, 
-0.648220956325531, -2.3283064365386963, -2.0226358562201163, 1728074282384675020, 
